id;project_name;reason;type;division;category;priority;department;start_date;end_date;location;status
1;warmly;TRANSPORT;VENDER;PUMPS;QUALITY_D;MEDIUM;STORES;2024-04-07T12:54:07;2024-04-07T23:51:55;anxiously;till
2;afraid;DELERSHIP;INTERNAL;COMPRESSER;QUALITY_C;MEDIUM;STARTEGY;2024-04-08T02:12:42;2024-04-08T01:58:50;really while;wrecker psst
3;pish astride vigilant;BUSSINESS;EXTERNAL;FILTERS;QUALITY_A;MEDIUM;STARTEGY;2024-04-08T00:45:43;2024-04-07T13:18:59;instead than;yuck
4;yearningly;BUSSINESS;EXTERNAL;FILTERS;QUALITY_A;MEDIUM;FINANCE;2024-04-07T08:54:08;2024-04-07T15:01:59;definite catsup;investigation
5;lustrous;TRANSPORT;VENDER;FILTERS;QUALITY_D;HIGH;FINANCE;2024-04-08T02:41:34;2024-04-08T01:37:43;cartridge;fancy opposite
6;underpay;DELERSHIP;VENDER;WATER_HEATER;QUALITY_D;MEDIUM;MENTAINANCE;2024-04-07T22:20:22;2024-04-08T00:20:39;moccasins;per
7;ski thankfully;BUSSINESS;EXTERNAL;PUMPS;QUALITY_A;LOW;FINANCE;2024-04-07T12:58:38;2024-04-07T09:42:28;database hence;opportunist um bespeak
8;lest expert;BUSSINESS;EXTERNAL;COMPRESSER;QUALITY_A;HIGH;STARTEGY;2024-04-07T20:58:08;2024-04-07T21:27:02;exactly;beautifully
9;woot loft slumber;BUSSINESS;EXTERNAL;PUMPS;QUALITY_B;MEDIUM;STORES;2024-04-07T09:24:11;2024-04-07T18:36:49;without educate fooey;a though
10;past frenetically;BUSSINESS;VENDER;WATER_HEATER;QUALITY_C;HIGH;QUALITY;2024-04-07T18:49:08;2024-04-08T04:36:41;yearningly;angrily
